user_id,username,account_type,creation_date
1,super_user,guest,2025-07-28
2,code_master,administrator,2025-06-16
3,web_dev,user,2025-12-23
4,web_dev,administrator,2025-06-02
5,dev_guru,user,2026-01-08
6,super_user,user,2026-02-15
7,web_ninja,user,2025-05-09
8,dev_guru,administrator,2025-04-10
9,web_ninja,administrator,2026-02-27
10,programming_pro,administrator,2026-01-22
11,programming_pro,administrator,2025-04-17
12,coding_queen,guest,2026-01-26
13,super_user,administrator,2026-01-21
14,web_ninja,user,2025-10-26
15,web_dev,user,2025-09-03
16,code_master,user,2026-01-26
17,coding_queen,user,2026-01-14
18,tech_guru,administrator,2026-03-05
19,web_dev,user,2025-09-27
20,super_user,administrator,2025-11-13
21,programming_pro,user,2025-04-04
22,admin_gal,administrator,2025-10-29
23,coding_queen,guest,2025-10-14
24,web_dev,guest,2025-10-26
25,programming_pro,administrator,2025-11-20
26,tech_guru,administrator,2025-05-31
27,super_user,user,2025-09-13
28,super_user,user,2025-11-03
29,programming_pro,user,2026-03-19
30,tech_guru,guest,2025-09-22
31,web_dev,guest,2026-01-09
32,tech_wizard,user,2026-03-12
33,dev_guru,administrator,2026-01-09
34,code_master,user,2025-05-17
35,admin_gal,administrator,2026-03-05
36,code_master,administrator,2025-09-12
37,dev_guru,administrator,2025-05-20
38,admin_gal,guest,2026-01-30
39,code_master,guest,2025-07-13
40,code_master,guest,2025-06-29
41,web_dev,administrator,2025-10-02
42,admin_gal,guest,2025-07-14
43,tech_guru,user,2025-08-27
44,web_ninja,user,2025-06-26
45,tech_wizard,administrator,2025-06-01
46,admin_gal,user,2026-01-11
47,web_dev,user,2025-11-16
48,web_dev,user,2025-04-25
49,tech_guru,user,2025-05-25
50,programming_pro,guest,2025-03-29
51,programming_pro,guest,2025-07-31
52,programming_pro,guest,2025-08-23
53,admin_gal,administrator,2026-01-03
54,programming_pro,administrator,2025-09-25
55,web_ninja,administrator,2025-08-17
56,web_ninja,user,2025-07-29
